time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-11-13T12:25:55.460Z,-42.712,172.8343,,,,,,,,,,,,,,,,,,,
2016-11-13T12:20:44.270Z,-42.2839,173.4519,,,,,,,,,,,,,,,,,,,
2016-11-13T12:04:15.560Z,-41.684,174.4913,,,,,,,,,,,,,,,,,,,
2016-11-13T11:52:45.170Z,-42.1985,173.6145,,,,,,,,,,,,,,,,,,,
2016-11-13T11:41:49.100Z,-41.7875,174.1117,,,,,,,,,,,,,,,,,,,
2016-11-13T11:32:07.310Z,-42.2536,173.6298,,,,,,,,,,,,,,,,,,,
2016-11-13T11:28:13.719Z,63.0378,-150.9383,,,,,,,,,,,,,,,,,,,
2016-11-13T11:12:39.250Z,-42.3902,173.6554,,,,,,,,,,,,,,,,,,,
2016-11-13T11:04:54.760Z,28.2298,143.5938,,,,,,,,,,,,,,,,,,,
2016-11-13T11:02:56.970Z,-42.7568,173.0766,,,,,,,,,,,,,,,,,,,
2016-11-13T07:43:17.550Z,-17.8401,-178.0576,,,,,,,,,,,,,,,,,,,
2016-11-13T05:50:38.347Z,57.1046,-157.7983,,,,,,,,,,,,,,,,,,,
2016-11-13T05:41:17.000Z,19.256,-66.5935,,,,,,,,,,,,,,,,,,,
2016-11-13T05:37:12.200Z,18.5953,-66.5684,,,,,,,,,,,,,,,,,,,
2016-11-13T04:53:46.140Z,31.3414,142.2804,,,,,,,,,,,,,,,,,,,
2016-11-13T04:48:08.080Z,47.7140007,-113.7246704,,,,,,,,,,,,,,,,,,,
2016-11-13T03:51:02.730Z,-20.0247,-177.8906,,,,,,,,,,,,,,,,,,,
2016-11-13T02:09:43.400Z,19.281,-68.9199,,,,,,,,,,,,,,,,,,,
2016-11-13T01:06:53.457Z,56.9885,-157.9156,,,,,,,,,,,,,,,,,,,
2016-11-13T01:06:28.200Z,19.2686,-66.607,,,,,,,,,,,,,,,,,,,
2016-11-13T01:04:45.569Z,41.8539,-119.6407,,,,,,,,,,,,,,,,,,,
2016-11-13T01:01:51.930Z,-28.1017,-67.3245,,,,,,,,,,,,,,,,,,,
2016-11-13T00:55:46.180Z,-24.9817,-179.9581,,,,,,,,,,,,,,,,,,,
2016-11-13T00:30:38.414Z,62.1658,-151.2242,,,,,,,,,,,,,,,,,,,
2016-11-12T22:43:22.570Z,37.0069,142.0324,,,,,,,,,,,,,,,,,,,
2016-11-12T22:35:15.140Z,52.5345,-174.2805,,,,,,,,,,,,,,,,,,,
2016-11-12T22:06:58.997Z,57.0683,-157.6984,,,,,,,,,,,,,,,,,,,
2016-11-12T21:52:36.956Z,57.0729,-157.7085,,,,,,,,,,,,,,,,,,,
2016-11-12T21:07:33.740Z,-6.3431,103.5635,,,,,,,,,,,,,,,,,,,
2016-11-12T20:51:07.930Z,6.0981,-82.7073,,,,,,,,,,,,,,,,,,,
2016-11-12T20:08:48.820Z,6.1803,-82.4554,,,,,,,,,,,,,,,,,,,
2016-11-12T18:35:02.450Z,60.4237,-150.8975,,,,,,,,,,,,,,,,,,,
2016-11-12T16:39:41.780Z,35.9815,-96.8102,,,,,,,,,,,,,,,,,,,
2016-11-12T16:15:51.570Z,-24.9651,178.6596,,,,,,,,,,,,,,,,,,,
2016-11-12T14:43:35.600Z,42.7256,13.1284,,,,,,,,,,,,,,,,,,,
2016-11-12T12:31:38.500Z,-17.5257,-178.6153,,,,,,,,,,,,,,,,,,,
2016-11-12T12:01:42.259Z,57.1455,-156.532,,,,,,,,,,,,,,,,,,,
2016-11-12T11:02:40.146Z,59.8174,-153.0378,,,,,,,,,,,,,,,,,,,
2016-11-12T08:07:01.860Z,35.9999,-96.7553,,,,,,,,,,,,,,,,,,,
2016-11-12T07:58:49.891Z,56.1813,-156.9525,,,,,,,,,,,,,,,,,,,
2016-11-12T06:55:53.838Z,62.0934,-149.66,,,,,,,,,,,,,,,,,,,
2016-11-12T06:00:47.700Z,18.3474,-74.2165,,,,,,,,,,,,,,,,,,,
2016-11-12T05:11:49.177Z,60.0288,-151.7646,,,,,,,,,,,,,,,,,,,
2016-11-12T04:59:40.300Z,17.8985,-65.623,,,,,,,,,,,,,,,,,,,
2016-11-12T04:44:47.600Z,17.9216,-65.6025,,,,,,,,,,,,,,,,,,,
2016-11-12T04:38:27.960Z,-23.3884,-66.744,,,,,,,,,,,,,,,,,,,
2016-11-12T03:25:53.600Z,17.9165,-65.6248,,,,,,,,,,,,,,,,,,,
2016-11-12T03:17:24.600Z,17.9211,-65.627,,,,,,,,,,,,,,,,,,,
2016-11-12T03:12:25.815Z,63.0192,-150.9044,,,,,,,,,,,,,,,,,,,
2016-11-12T02:58:30.420Z,36.8905,-97.4851,,,,,,,,,,,,,,,,,,,
2016-11-12T02:55:51.580Z,36.8896,-97.4837,,,,,,,,,,,,,,,,,,,
2016-11-12T02:15:31.300Z,-6.3519,148.0322,,,,,,,,,,,,,,,,,,,
2016-11-12T01:44:02.310Z,41.336834,-122.1906662,,,,,,,,,,,,,,,,,,,
2016-11-12T01:36:51.680Z,19.3381672,-155.1309967,,,,,,,,,,,,,,,,,,,
2016-11-12T00:00:56.100Z,18.6261,-68.9866,,,,,,,,,,,,,,,,,,,
2016-11-11T23:48:20.700Z,18.0522,-67.0241,,,,,,,,,,,,,,,,,,,
2016-11-11T23:35:37.680Z,-27.343,-63.4094,,,,,,,,,,,,,,,,,,,
2016-11-11T23:25:17.210Z,19.3391666,-155.1948395,,,,,,,,,,,,,,,,,,,
2016-11-11T23:10:50.800Z,19.037,-64.7368,,,,,,,,,,,,,,,,,,,
2016-11-11T22:25:31.270Z,24.056,122.5195,,,,,,,,,,,,,,,,,,,
2016-11-11T22:24:29.600Z,17.8843,-65.6125,,,,,,,,,,,,,,,,,,,
2016-11-11T21:42:59.300Z,38.4993,141.5611,,,,,,,,,,,,,,,,,,,
2016-11-11T21:34:28.900Z,18.7805,-68.4326,,,,,,,,,,,,,,,,,,,
2016-11-11T21:19:47.800Z,17.9307,-65.6221,,,,,,,,,,,,,,,,,,,
2016-11-11T19:34:50.780Z,37.7602,70.1104,,,,,,,,,,,,,,,,,,,
2016-11-11T18:56:44.700Z,17.9398,-65.6279,,,,,,,,,,,,,,,,,,,
2016-11-11T18:28:37.200Z,17.9419,-65.6212,,,,,,,,,,,,,,,,,,,
2016-11-11T18:02:49.800Z,17.9044,-65.6173,,,,,,,,,,,,,,,,,,,
2016-11-11T17:12:06.790Z,-4.4273,133.9323,,,,,,,,,,,,,,,,,,,
2016-11-11T15:49:56.920Z,35.6821,-97.0728,,,,,,,,,,,,,,,,,,,
2016-11-11T15:41:22.966Z,51.4581,-178.5019,,,,,,,,,,,,,,,,,,,
2016-11-11T15:40:17.039Z,59.4575,-138.8037,,,,,,,,,,,,,,,,,,,
2016-11-11T15:11:45.200Z,17.913,-65.6122,,,,,,,,,,,,,,,,,,,
2016-11-11T14:53:32.200Z,17.9351,-65.6146,,,,,,,,,,,,,,,,,,,
2016-11-11T14:53:05.270Z,-8.5755,-74.4728,,,,,,,,,,,,,,,,,,,
2016-11-11T14:32:39.400Z,17.9118,-65.6167,,,,,,,,,,,,,,,,,,,
2016-11-11T14:31:18.800Z,17.9216,-65.609,,,,,,,,,,,,,,,,,,,
2016-11-11T13:50:41.800Z,19.1774,-65.3109,,,,,,,,,,,,,,,,,,,
2016-11-11T13:49:36.060Z,38.7495003,-122.69767,,,,,,,,,,,,,,,,,,,
2016-11-11T12:17:20.580Z,34.2092,136.9501,,,,,,,,,,,,,,,,,,,
2016-11-11T11:12:36.820Z,36.9154,-97.8692,,,,,,,,,,,,,,,,,,,
2016-11-11T11:08:55.260Z,32.2123333,-116.409,,,,,,,,,,,,,,,,,,,
2016-11-11T10:57:10.600Z,-60.4509,-47.5545,,,,,,,,,,,,,,,,,,,
2016-11-11T10:12:01.190Z,59.9226,-151.576,,,,,,,,,,,,,,,,,,,
2016-11-11T08:54:44.260Z,35.5843,-98.141,,,,,,,,,,,,,,,,,,,
2016-11-11T08:28:21.370Z,38.6134,-107.797,,,,,,,,,,,,,,,,,,,
2016-11-11T08:28:12.030Z,2.7953,126.5405,,,,,,,,,,,,,,,,,,,
2016-11-11T08:13:46.190Z,52.7691,174.4701,,,,,,,,,,,,,,,,,,,
2016-11-11T08:01:36.900Z,19.0935,-66.3591,,,,,,,,,,,,,,,,,,,
2016-11-11T07:05:46.780Z,49.9566,153.6647,,,,,,,,,,,,,,,,,,,
2016-11-11T04:53:37.380Z,34.4412,136.8461,,,,,,,,,,,,,,,,,,,
2016-11-11T04:50:17.500Z,18.2723,-67.7734,,,,,,,,,,,,,,,,,,,
2016-11-11T04:22:43.380Z,35.599,-98.1363,,,,,,,,,,,,,,,,,,,
2016-11-11T03:41:23.817Z,54.593,-161.2313,,,,,,,,,,,,,,,,,,,
2016-11-11T00:44:27.170Z,36.4193,-96.9483,,,,,,,,,,,,,,,,,,,
2016-11-11T00:26:44.300Z,-8.9995,111.3859,,,,,,,,,,,,,,,,,,,
2016-11-11T00:11:06.000Z,-32.162,-71.697,,,,,,,,,,,,,,,,,,,
2016-11-11T00:08:05.750Z,35.983,-96.812,,,,,,,,,,,,,,,,,,,
2016-11-10T22:59:34.590Z,14.7341,-93.7043,,,,,,,,,,,,,,,,,,,
2016-11-10T22:04:27.610Z,-12.8927,169.3817,,,,,,,,,,,,,,,,,,,
2016-11-10T21:21:36.170Z,36.0958,-97.4433,,,,,,,,,,,,,,,,,,,
2016-11-10T20:12:42.000Z,60.7229,-149.2053,,,,,,,,,,,,,,,,,,,
2016-11-10T18:08:55.000Z,60.5754,-152.2259,,,,,,,,,,,,,,,,,,,
2016-11-10T17:43:14.530Z,-14.8146,-73.5968,,,,,,,,,,,,,,,,,,,
2016-11-10T17:35:38.870Z,-20.4172,-178.2071,,,,,,,,,,,,,,,,,,,
2016-11-10T17:14:54.480Z,-19.1163,-69.4535,,,,,,,,,,,,,,,,,,,
2016-11-10T12:24:09.900Z,-50.0219,114.194,,,,,,,,,,,,,,,,,,,
2016-11-10T12:12:44.040Z,41.0726,22.673,,,,,,,,,,,,,,,,,,,
2016-11-10T11:49:31.210Z,-16.4577,-173.2688,,,,,,,,,,,,,,,,,,,
2016-11-10T11:16:10.100Z,19.0032,-67.253,,,,,,,,,,,,,,,,,,,
2016-11-10T11:08:18.780Z,47.4821667,-115.8788333,,,,,,,,,,,,,,,,,,,
2016-11-10T10:57:47.300Z,13.8472,145.3772,,,,,,,,,,,,,,,,,,,
2016-11-10T09:01:10.000Z,62.5143,-151.2781,,,,,,,,,,,,,,,,,,,
2016-11-10T08:15:34.920Z,-8.8707,111.3925,,,,,,,,,,,,,,,,,,,
2016-11-10T07:11:05.110Z,14.82,121.4287,,,,,,,,,,,,,,,,,,,
2016-11-10T05:19:59.000Z,58.0795,-151.5699,,,,,,,,,,,,,,,,,,,
2016-11-10T04:32:34.000Z,51.9011,-174.2753,,,,,,,,,,,,,,,,,,,
2016-11-10T02:56:01.340Z,14.2979,-93.0443,,,,,,,,,,,,,,,,,,,
2016-11-09T23:41:17.000Z,59.8834,-152.6954,,,,,,,,,,,,,,,,,,,
2016-11-09T22:20:41.450Z,38.7666,142.1254,,,,,,,,,,,,,,,,,,,
2016-11-09T21:30:48.500Z,18.8658,-65.4729,,,,,,,,,,,,,,,,,,,
2016-11-09T20:34:03.750Z,33.6796667,-117.9081667,,,,,,,,,,,,,,,,,,,
2016-11-09T19:10:12.930Z,37.6385002,-118.9271698,,,,,,,,,,,,,,,,,,,
2016-11-09T16:40:34.900Z,18.1107,-63.9061,,,,,,,,,,,,,,,,,,,
2016-11-09T16:23:11.000Z,51.4885,-176.4772,,,,,,,,,,,,,,,,,,,
2016-11-09T15:58:43.360Z,42.859,18.5335,,,,,,,,,,,,,,,,,,,
2016-11-09T14:50:59.460Z,-4.7298,149.8506,,,,,,,,,,,,,,,,,,,
2016-11-09T14:36:44.000Z,58.3968,-153.504,,,,,,,,,,,,,,,,,,,
2016-11-09T14:27:22.000Z,59.7991,-153.1181,,,,,,,,,,,,,,,,,,,
2016-11-09T12:21:30.120Z,-36.5108,-73.6033,,,,,,,,,,,,,,,,,,,
2016-11-09T11:04:08.010Z,-36.4734,-73.7061,,,,,,,,,,,,,,,,,,,
2016-11-09T10:07:47.170Z,19.4598331,-155.588501,,,,,,,,,,,,,,,,,,,
2016-11-09T08:15:30.050Z,-14.8843,167.0993,,,,,,,,,,,,,,,,,,,
2016-11-09T04:54:29.540Z,33.1671667,-115.6275,,,,,,,,,,,,,,,,,,,
2016-11-09T04:39:43.230Z,41.7581667,-124.4556667,,,,,,,,,,,,,,,,,,,
2016-11-09T04:17:20.000Z,59.7425,-153.0154,,,,,,,,,,,,,,,,,,,
2016-11-09T02:15:37.530Z,36.9392,-97.8936,,,,,,,,,,,,,,,,,,,
2016-11-09T02:15:21.610Z,-11.3974,-76.0124,,,,,,,,,,,,,,,,,,,
2016-11-09T01:16:58.000Z,67.2488,-138.9877,,,,,,,,,,,,,,,,,,,
2016-11-09T01:15:19.300Z,27.8514,57.3422,,,,,,,,,,,,,,,,,,,
2016-11-09T00:55:46.860Z,36.4631667,-121.007,,,,,,,,,,,,,,,,,,,
2016-11-08T23:30:21.160Z,-27.2538,-63.3462,,,,,,,,,,,,,,,,,,,
2016-11-08T23:24:10.910Z,33.0808333,-115.5916667,,,,,,,,,,,,,,,,,,,
2016-11-08T23:11:58.710Z,-17.1276,-70.4568,,,,,,,,,,,,,,,,,,,
2016-11-08T20:56:15.330Z,33.194,-115.5818333,,,,,,,,,,,,,,,,,,,
2016-11-08T20:27:05.500Z,36.4163,-97.3526,,,,,,,,,,,,,,,,,,,
2016-11-08T19:20:43.558Z,61.7673,-150.7119,,,,,,,,,,,,,,,,,,,
2016-11-08T18:29:55.280Z,-19.2843,-177.5516,,,,,,,,,,,,,,,,,,,
2016-11-08T18:13:43.080Z,38.6625,-112.533,,,,,,,,,,,,,,,,,,,
2016-11-08T17:21:22.390Z,-5.6248,109.9145,,,,,,,,,,,,,,,,,,,
2016-11-08T17:09:51.070Z,-38.188,-74.1353,,,,,,,,,,,,,,,,,,,
2016-11-08T16:06:24.486Z,67.1179,-143.8844,,,,,,,,,,,,,,,,,,,
2016-11-08T14:13:58.360Z,-25.4077,-70.183,,,,,,,,,,,,,,,,,,,
2016-11-08T12:43:20.370Z,36.4407,141.1072,,,,,,,,,,,,,,,,,,,
2016-11-08T12:02:02.100Z,32.2296667,-115.26,,,,,,,,,,,,,,,,,,,
2016-11-08T09:39:47.863Z,51.8127,178.3399,,,,,,,,,,,,,,,,,,,
2016-11-08T09:31:02.200Z,-2.3681,100.6863,,,,,,,,,,,,,,,,,,,
2016-11-08T09:12:19.124Z,55.4312,-159.2367,,,,,,,,,,,,,,,,,,,
2016-11-08T09:11:09.530Z,-58.2127,148.3125,,,,,,,,,,,,,,,,,,,
2016-11-08T08:07:36.122Z,51.9048,-174.3054,,,,,,,,,,,,,,,,,,,
2016-11-08T07:48:54.690Z,52.3623,-168.0075,,,,,,,,,,,,,,,,,,,
2016-11-08T07:44:29.070Z,53.4258,-163.4207,,,,,,,,,,,,,,,,,,,
2016-11-08T07:32:14.630Z,51.8383,-179.0501,,,,,,,,,,,,,,,,,,,
2016-11-08T07:08:03.000Z,-36.6082,-73.5222,,,,,,,,,,,,,,,,,,,
2016-11-08T06:25:55.260Z,-58.0464,148.291,,,,,,,,,,,,,,,,,,,
2016-11-08T05:44:42.740Z,-36.6029,-73.6206,,,,,,,,,,,,,,,,,,,
2016-11-08T05:16:17.530Z,-36.5898,-73.4947,,,,,,,,,,,,,,,,,,,
2016-11-08T04:55:44.250Z,-36.5806,-73.6355,,,,,,,,,,,,,,,,,,,
2016-11-08T04:55:11.139Z,58.5823,-143.361,,,,,,,,,,,,,,,,,,,
2016-11-08T04:27:13.590Z,-58.1573,148.4807,,,,,,,,,,,,,,,,,,,
2016-11-08T03:09:25.370Z,-58.1371,148.1298,,,,,,,,,,,,,,,,,,,
2016-11-08T01:17:39.771Z,60.8987,-147.5949,,,,,,,,,,,,,,,,,,,
2016-11-08T00:58:45.150Z,-5.7905,146.4721,,,,,,,,,,,,,,,,,,,
2016-11-08T00:16:01.420Z,-3.3906,139.6648,,,,,,,,,,,,,,,,,,,
2016-11-07T23:38:40.200Z,18.9055,-64.275,,,,,,,,,,,,,,,,,,,
2016-11-07T23:31:22.000Z,59.688,-153.0934,,,,,,,,,,,,,,,,,,,
2016-11-07T22:17:13.600Z,36.4509,-98.7939,,,,,,,,,,,,,,,,,,,
2016-11-07T21:52:10.600Z,17.965,-68.4235,,,,,,,,,,,,,,,,,,,
2016-11-07T21:31:28.260Z,-8.1021,104.8521,,,,,,,,,,,,,,,,,,,
2016-11-07T20:47:36.130Z,15.1638,122.5297,,,,,,,,,,,,,,,,,,,
2016-11-07T18:57:18.000Z,60.9912,-151.2071,,,,,,,,,,,,,,,,,,,
2016-11-07T18:56:17.460Z,42.9127,13.0613,,,,,,,,,,,,,,,,,,,
2016-11-07T18:46:28.500Z,17.94,-65.607,,,,,,,,,,,,,,,,,,,
2016-11-07T18:35:05.620Z,36.876,-89.1226667,,,,,,,,,,,,,,,,,,,
2016-11-07T18:21:24.850Z,-10.2982,160.71,,,,,,,,,,,,,,,,,,,
2016-11-07T18:16:46.090Z,-0.077,123.5033,,,,,,,,,,,,,,,,,,,
2016-11-07T17:14:55.110Z,48.1638333,-122.762,,,,,,,,,,,,,,,,,,,
2016-11-07T17:14:51.750Z,-22.2009,-179.5226,,,,,,,,,,,,,,,,,,,
2016-11-07T16:59:07.000Z,-39.37,173.79,,,,,,,,,,,,,,,,,,,
2016-11-07T15:24:07.480Z,-23.9891,-66.6231,,,,,,,,,,,,,,,,,,,
